"YEAR","WEEK","ALABAMA","ALASKA","ARIZONA","ARKANSAS","CALIFORNIA","COLORADO","CONNECTICUT","DELAWARE","DISTRICT.OF.COLUMBIA","FLORIDA","GEORGIA","HAWAII","IDAHO","ILLINOIS","INDIANA","IOWA","KANSAS","KENTUCKY","LOUISIANA","MAINE","MARYLAND","MASSACHUSETTS","MICHIGAN","MINNESOTA","MISSISSIPPI","MISSOURI","MONTANA","NEBRASKA","NEVADA","NEW.HAMPSHIRE","NEW.JERSEY","NEW.MEXICO","NEW.YORK","NORTH.CAROLINA","NORTH.DAKOTA","OHIO","OKLAHOMA","OREGON","PENNSYLVANIA","RHODE.ISLAND","SOUTH.CAROLINA","SOUTH.DAKOTA","TENNESSEE","TEXAS","UTAH","VERMONT","VIRGINIA","WASHINGTON","WEST.VIRGINIA","WISCONSIN","WYOMING","PUERTO.RICO","TIME"
2006,"24",110,46,490,0,0,68,0,85,55,763,43,0,2,562,196,110,170,153,115,42,288,247,664,0,0,305,99,66,0,10,0,0,0,527,3,60,249,0,481,80,259,55,361,775,1,22,0,460,21,104,0,0,2006-06-12
2006,"25",0,64,408,134,1775,0,0,58,38,729,9,0,110,443,0,105,157,203,104,50,279,220,339,0,0,284,29,0,0,24,0,0,0,735,0,45,91,149,501,66,311,44,524,854,0,0,630,265,0,170,0,0,2006-06-19
2006,"26",0,0,327,0,901,0,0,67,18,666,0,0,0,0,0,125,0,0,142,0,0,149,320,0,0,0,0,0,0,22,0,0,0,0,7,0,0,208,357,0,0,0,0,0,0,0,189,0,19,0,0,0,2006-06-26
2006,"27",100,73,165,0,1092,0,231,56,0,580,15,0,0,662,0,59,30,402,0,0,190,71,277,0,0,171,32,80,0,26,66,20,0,280,2,18,156,0,176,44,120,25,291,0,67,0,321,290,34,24,14,0,2006-07-03
2006,"28",0,51,463,231,1393,0,448,59,20,716,26,0,6,0,163,0,251,227,157,0,359,327,492,0,501,213,108,89,9,40,131,0,0,425,5,51,151,0,666,43,368,53,535,739,0,22,533,327,44,0,0,0,2006-07-10
2006,"29",230,74,234,107,1312,42,0,71,52,649,0,4,29,599,195,0,103,177,238,0,303,160,483,7,390,262,45,76,0,25,129,0,0,682,17,33,230,0,0,68,271,67,517,37,0,27,420,242,34,29,0,0,2006-07-17
2006,"30",103,0,320,207,1679,0,46,70,19,738,3,1,0,991,133,102,0,240,142,46,352,347,0,7,0,239,0,0,0,6,0,0,0,523,23,70,126,125,603,81,1079,46,519,740,74,14,367,298,0,45,0,0,2006-07-24
2006,"31",0,94,504,143,1398,0,79,88,31,754,2,0,0,488,132,109,195,126,100,60,316,239,260,0,526,274,0,103,4,0,81,84,0,565,10,561,135,0,556,33,362,0,522,953,124,10,548,348,0,45,0,0,2006-07-31
2006,"32",86,65,379,206,1622,143,124,70,0,910,13,0,0,689,348,127,192,0,235,44,356,470,316,0,765,269,0,119,135,0,0,0,0,454,14,8,200,0,598,12,208,58,527,0,80,0,507,347,30,86,0,0,2006-08-07
2006,"33",53,75,389,115,1474,0,0,57,0,784,3,0,0,548,429,93,253,106,103,52,230,345,674,6,101,260,34,158,0,0,0,0,0,683,6,14,161,250,577,63,0,46,532,1419,103,8,329,308,24,97,34,0,2006-08-14
